id,titulo,anio,calificacion,duracion,metascore,url,actores
4082,Maharaja,2024,8,141.0,,https://www.imdb.com/title/tt26548265/,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
4083,The Terminator,1984,8,107.0,84.0,https://www.imdb.com/title/tt0088247/,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
4084,Before Sunset,2004,8,80.0,91.0,https://www.imdb.com/title/tt0381681/,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
4085,Platoon,1987,8,120.0,92.0,https://www.imdb.com/title/tt0091763/,"Charlie Sheen, Tom Berenger, Willem Dafoe"
4086,Jai Bhim,2021,9,164.0,,https://www.imdb.com/title/tt15097216/,"Suriya, Lijo Mol Jose, Manikandan K."
4087,The Big Lebowski,1998,8,117.0,71.0,https://www.imdb.com/title/tt0118715/,"John Goodman, Jeff Bridges, Julianne Moore"
4088,Room,2016,8,118.0,86.0,https://www.imdb.com/title/tt3170832/,"Brie Larson, Jacob Tremblay, Sean Bridgers"
4089,Hotel Rwanda,2005,8,121.0,79.0,https://www.imdb.com/title/tt0395169/,"Joaquin Phoenix, Don Cheadle, Sophie Okonedo"
4090,The Best Years of Our Lives,1947,8,170.0,93.0,https://www.imdb.com/title/tt0036868/,"Myrna Loy, Dana Andrews, Fredric March"
4091,La haine,1996,8,98.0,,https://www.imdb.com/title/tt0113247/,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
4092,The Sound of Music,1965,8,172.0,63.0,https://www.imdb.com/title/tt0059742/,"Julie Andrews, Christopher Plummer, Eleanor Parker"
4093,The Iron Giant,1999,8,86.0,85.0,https://www.imdb.com/title/tt0129167/,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
4094,The Exorcist,1973,8,122.0,83.0,https://www.imdb.com/title/tt0070047/,"Ellen Burstyn, Max von Sydow, Linda Blair"
4095,Koe no katachi,2016,8,130.0,78.0,https://www.imdb.com/title/tt5323662/,"Miyu Irino, Saori Hayami, Aoi Yûki"
4096,Network,1976,8,121.0,83.0,https://www.imdb.com/title/tt0074958/,"William Holden, Faye Dunaway, Peter Finch"
4097,Rush,2013,8,123.0,74.0,https://www.imdb.com/title/tt1979320/,"Chris Hemsworth, Daniel Brühl, Olivia Wilde"
4098,The Wizard of Oz,1939,8,102.0,92.0,https://www.imdb.com/title/tt0032138/,"Judy Garland, Frank Morgan, Ray Bolger"
4099,Stand by Me,1986,8,89.0,75.0,https://www.imdb.com/title/tt0092005/,"Wil Wheaton, River Phoenix, Corey Feldman"
4100,Babam ve Oglum,2005,8,112.0,,https://www.imdb.com/title/tt0476735/,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
4101,La passion de Jeanne d&apos;Arc,1928,8,114.0,98.0,https://www.imdb.com/title/tt0019254/,"Maria Falconetti, Eugene Silvain, André Berley"
4102,Ah-ga-ssi,2017,8,145.0,85.0,https://www.imdb.com/title/tt4016934/,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
4103,Hachi: A Dog&apos;s Tale,2010,8,93.0,,https://www.imdb.com/title/tt1028532/,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
4104,The Incredibles,2004,8,115.0,90.0,https://www.imdb.com/title/tt0317705/,"Samuel L. Jackson, Craig T. Nelson, Holly Hunter"
4105,Into the Wild,2007,8,148.0,73.0,https://www.imdb.com/title/tt0758758/,"Emile Hirsch, Vince Vaughn, Catherine Keener"
4106,The Help,2011,8,146.0,62.0,https://www.imdb.com/title/tt1454029/,"Viola Davis, Emma Stone, Octavia Spencer"
4107,To Be or Not to Be,1942,8,99.0,86.0,https://www.imdb.com/title/tt0035446/,"Carole Lombard, Jack Benny, Robert Stack"
4108,La battaglia di Algeri,1967,8,121.0,96.0,https://www.imdb.com/title/tt0058946/,"Brahim Hadjadj, Jean Martin, Yacef Saadi"
4109,Höstsonaten,1978,8,99.0,,https://www.imdb.com/title/tt0077711/,"Ingrid Bergman, Liv Ullmann, Lena Nyman"
4110,Gangs of Wasseypur,2012,8,321.0,89.0,https://www.imdb.com/title/tt1954470/,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia"
4111,The Grapes of Wrath,1940,8,129.0,96.0,https://www.imdb.com/title/tt0032551/,"Henry Fonda, Jane Darwell, John Carradine"
4112,Groundhog Day,1993,8,101.0,72.0,https://www.imdb.com/title/tt0107048/,"Bill Murray, Andie MacDowell, Chris Elliott"
4113,Drishyam,2015,8,163.0,,https://www.imdb.com/title/tt4430212/,"Ajay Devgn, Shriya Saran, Tabu"
