id,titulo,anio,calificacion,duracion,metascore,url,actores
3941,Oldeuboi,2003,8,120.0,78.0,https://www.imdb.com/title/tt0364569/,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
3942,Mononoke-hime,1997,8,133.0,78.0,https://www.imdb.com/title/tt0119698/,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
3943,Toy Story,1995,8,81.0,96.0,https://www.imdb.com/title/tt0114709/,"Tom Hanks, Tim Allen, Don Rickles"
3944,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8,95.0,97.0,https://www.imdb.com/title/tt0057012/,"Peter Sellers, George C. Scott, Sterling Hayden"
3945,Good Will Hunting,1998,8,126.0,71.0,https://www.imdb.com/title/tt0119217/,"Matt Damon, Robin Williams, Ben Affleck"
3946,Avengers: Endgame,2019,8,181.0,78.0,https://www.imdb.com/title/tt4154796/,"Robert Downey Jr., Mark Ruffalo, Chris Evans"
3947,Joker,2019,8,122.0,59.0,https://www.imdb.com/title/tt7286456/,"Robert De Niro, Joaquin Phoenix, Zazie Beetz"
3948,Kimi no na wa.,2017,8,106.0,81.0,https://www.imdb.com/title/tt5311514/,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
3949,Requiem for a Dream,2000,8,102.0,71.0,https://www.imdb.com/title/tt0180093/,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
3950,Capharnaüm,2018,8,126.0,75.0,https://www.imdb.com/title/tt8267604/,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
3951,Idi i smotri,1985,8,142.0,,https://www.imdb.com/title/tt0091251/,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
3952,Toy Story 3,2010,8,103.0,92.0,https://www.imdb.com/title/tt0435761/,"Tom Hanks, Tim Allen, Joan Cusack"
3953,Once Upon a Time in America,1984,8,229.0,75.0,https://www.imdb.com/title/tt0087843/,"Robert De Niro, James Woods, Elizabeth McGovern"
3954,3 Idiots,2009,8,170.0,67.0,https://www.imdb.com/title/tt1187043/,"Aamir Khan, Madhavan, Mona Singh"
3955,Jagten,2012,8,115.0,77.0,https://www.imdb.com/title/tt2106476/,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
3956,Star Wars: Episode VI - Return of the Jedi,1983,8,131.0,58.0,https://www.imdb.com/title/tt0086190/,"Mark Hamill, Harrison Ford, Carrie Fisher"
3957,Singin&apos; in the Rain,1952,8,103.0,99.0,https://www.imdb.com/title/tt0045152/,"Gene Kelly, Donald O&apos;Connor, Debbie Reynolds"
3958,Ikiru,1956,8,143.0,92.0,https://www.imdb.com/title/tt0044741/,"Takashi Shimura, Nobuo Kaneko, Shin&apos;ichi Himori"
3959,Eternal Sunshine of the Spotless Mind,2004,8,108.0,89.0,https://www.imdb.com/title/tt0338013/,"Jim Carrey, Kate Winslet, Tom Wilkinson"
3960,The Apartment,1960,8,125.0,94.0,https://www.imdb.com/title/tt0053604/,Jack Lemmon
3961,Scarface,1983,8,170.0,65.0,https://www.imdb.com/title/tt0086250/,"Al Pacino, Michelle Pfeiffer"
3962,Up,2009,8,96.0,88.0,https://www.imdb.com/title/tt1049413/,
3963,M - Eine Stadt sucht einen Mörder,1931,8,99.0,,https://www.imdb.com/title/tt0022100/,
3964,2001: A Space Odyssey,1968,8,149.0,84.0,https://www.imdb.com/title/tt0062622/,
3965,Reservoir Dogs,1992,8,99.0,81.0,https://www.imdb.com/title/tt0105236/,
3966,Incendies,2011,8,131.0,80.0,https://www.imdb.com/title/tt1255953/,
3967,Le fabuleux destin d&apos;Amélie Poulain,2002,8,122.0,70.0,https://www.imdb.com/title/tt0211915/,"Audrey Tautou, Mathieu Kassovitz, Rufus"
3968,Heat,1995,8,170.0,76.0,https://www.imdb.com/title/tt0113277/,"Al Pacino, Robert De Niro, Val Kilmer"
3969,Full Metal Jacket,1987,8,116.0,78.0,https://www.imdb.com/title/tt0093058/,"Matthew Modine, R. Lee Ermey, Vincent D&apos;Onofrio"
3970,Lawrence of Arabia,2013,8,227.0,100.0,https://www.imdb.com/title/tt0056172/,"Peter O&apos;Toole, Alec Guinness, Anthony Quinn"
3971,Citizen Kane,1941,8,119.0,100.0,https://www.imdb.com/title/tt0033467/,"Orson Welles, Joseph Cotten, Dorothy Comingore"
3972,Double Indemnity,1944,8,107.0,95.0,https://www.imdb.com/title/tt0036775/,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
3973,Taare Zameen Par,2007,8,162.0,,https://www.imdb.com/title/tt0986264/,"Aamir Khan, Darsheel Safary, Tisca Chopra"
3974,Vertigo,1958,8,128.0,100.0,https://www.imdb.com/title/tt0052357/,"James Stewart, Kim Novak, Barbara Bel Geddes"
3975,Jodaeiye Nader az Simin,2011,8,123.0,95.0,https://www.imdb.com/title/tt1832382/,"Payman Maadi, Leila Hatami, Sareh Bayat"
3976,Die Hard,1988,8,132.0,72.0,https://www.imdb.com/title/tt0095016/,"Bruce Willis, Alan Rickman, Bonnie Bedelia"
3977,To Kill a Mockingbird,1963,8,129.0,88.0,https://www.imdb.com/title/tt0056592/,"Gregory Peck, John Megna, Frank Overton"
3978,North by Northwest,1959,8,136.0,98.0,https://www.imdb.com/title/tt0053125/,"Cary Grant, Eva Marie Saint, James Mason"
3979,Ladri di biciclette,1949,8,89.0,,https://www.imdb.com/title/tt0040522/,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
3980,Dangal,2016,8,161.0,,https://www.imdb.com/title/tt5074352/,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
3981,The Sting,1973,8,129.0,83.0,https://www.imdb.com/title/tt0070735/,"Paul Newman, Robert Redford, Robert Shaw"
3982,1917,2020,8,119.0,78.0,https://www.imdb.com/title/tt8579674/,"Dean-Charles Chapman, George MacKay, Daniel Mays"
